Sr.,Player,Team,Mat,Inn,Runs,HS,Avg,100s,50s
1,Sachin Tendulkar,India,463,452,18426,200*,44.83,49,96
2,Kumar Sangakkara,Sri Lanka,404,380,14234,169,41.98,25,93
3,Virat Kohli,India,295,283,13906,183,58.18,50,72
4,Ricky Ponting,Australia,375,365,13704,164,42.03,30,82
5,Sanath Jayasuriya,Sri Lanka,445,433,13430,189,32.36,28,68
6,Mahela Jayawardene,Sri Lanka,448,418,12650,144,33.37,19,77
7,Inzamam-ul-Haq,Pakistan,378,350,11739,137*,39.52,10,83
8,Jacques Kallis,South Africa,328,314,11579,139,44.36,17,86
9,Sourav Ganguly,India,311,300,11363,183,41.02,22,72
10,Rahul Dravid,India,344,318,10889,153,39.16,12,83
11,Rohit Sharma,India,265,257,10866,264,49.16,31,57
12,MS Dhoni,India,350,297,10773,183*,50.57,10,73
13,Chris Gayle,West Indies,301,294,10480,215,37.83,25,54
14,Brian Lara,West Indies,299,289,10405,169,40.48,19,63
15,Tillakaratne Dilshan,Sri Lanka,330,303,10290,161*,39.27,22,47
